id_asignacion,id_gestion,id_asignatura,id_docente,siacop_id_persona,paralelo,turno,horas_asignadas,categoria,nombramiento,evaluacion_nota,evaluacion_archivo_digital,nombre_sede,siacop_id_asignacion_docente,siacop_id_asignacion,siacop_id_gestion,siacop_gestion
38,1,1346,7,139,PH,M,40,CONTRATADO,MED.VILESP.14.97.MED-400 .4.M.PH / 41.,NULL,,VILLA ESPERANZA,46120,40376,54,2015
39,1,834,2,46,PH,T,24,CONTRATADO,MED.VILESP.14.97.MED - 405.4.T.PH / 46.,NULL,,VILLA ESPERANZA,46134,40377,54,2015
40,1,816,35,475,D,T,20,CONTRATADO,MED.VILESP.14.97.MED - 102.1.T.D / 25.,NULL,,VILLA ESPERANZA,46175,40304,54,2015
41,1,816,35,475,F,T,20,CONTRATADO,MED.VILESP.14.97.MED - 102.1.T.F / 24.,NULL,,VILLA ESPERANZA,46177,40306,54,2015
42,1,815,16,232,F,T,20,CONTRATADO,MED.VILESP.14.97.MED - 101.1.T.F / 42.,NULL,,VILLA ESPERANZA,46178,40307,54,2015
43,1,817,12,204,D,T,16,CONTRATADO,MED.VILESP.14.97.MED - 103.1.T.D / 45.,NULL,,VILLA ESPERANZA,46179,40308,54,2015
44,1,819,43,590,B,M,20,CONTRATADO,MED.VILESP.14.97.MED - 202.2.M.B / 39.,NULL,,VILLA ESPERANZA,46181,40322,54,2015
45,1,823,13,227,E,T,24,CONTRATADO,MED.VILESP.14.97.MED - 300.3.T.E / 36.,NULL,,VILLA ESPERANZA,46182,40346,54,2015
46,1,823,13,227,F,T,24,CONTRATADO,MED.VILESP.14.97.MED - 300.3.T.F / 37.,NULL,,VILLA ESPERANZA,46184,40348,54,2015
47,1,825,90,1706,F,T,24,CONTRATADO,MED.VILESP.14.97.MED - 303.3.T.F / 47.,NULL,,VILLA ESPERANZA,46185,40359,54,2015
48,1,814,58,1251,K,N,40,CONTRATADO,MED.VILESP.14.97.MED - 100.1.N.K / 38.,NULL,,VILLA ESPERANZA,46187,40690,54,2015
49,1,817,129,3868,G,M,12,INVITADO,MED.VILESP.14.97.MED - 103.1.M.G / 8.,NULL,,VILLA ESPERANZA,46188,40692,54,2015
50,1,818,125,3497,C,T,18,INVITADO,MED.VILESP.14.97.MED - 200.2.T.C / 6.,NULL,,VILLA ESPERANZA,46189,40691,54,2015
51,1,819,78,1383,E,M,10,INVITADO,MED.VILESP.14.97.MED - 202.2.M.E / 12.,NULL,,VILLA ESPERANZA,46190,40693,54,2015
52,1,814,26,351,C,M,35,CONTRATADO,MED.VILESP.14.97.MED - 100.1.M.C / 58.,NULL,,VILLA ESPERANZA,47195,41449,54,2015
53,1,814,54,776,B,T,35,CONTRATADO,MED.VILESP.14.97.MED - 100.1.T.B / 53.,NULL,,VILLA ESPERANZA,47197,41448,54,2015
54,1,819,43,590,A,T,20,CONTRATADO,MED.VILESP.14.97.MED - 202.2.T.A / 54.,NULL,,VILLA ESPERANZA,47199,41454,54,2015
55,1,822,41,574,A,M,20,CONTRATADO,MED.VILESP.14.97.MED - 204.2.M.A / 49.,NULL,,VILLA ESPERANZA,47200,41451,54,2015
56,1,820,114,3299,B,T,18,CONTRATADO,MED.VILESP.14.97.MED - 203.2.T.B / 48.,NULL,,VILLA ESPERANZA,47211,41452,54,2015
57,1,822,68,1282,C,T,15,CONTRATADO,MED.VILESP.14.97.MED - 204.2.T.C / 55.,NULL,,VILLA ESPERANZA,47215,41453,54,2015
58,1,827,149,4488,PH,M,20,CONTRATADO,MED.VILESP.14.97.MED - 304.3.M.PH / 60.,NULL,,VILLA ESPERANZA,47219,41455,54,2015
59,1,1358,105,2314,PH,M,34,CONTRATADO,MED.VILESP.14.97.MED-500.5.M.PH / 59.,NULL,,VILLA ESPERANZA,47224,41469,54,2015
60,1,1365,9,177,PH,M,34,CONTRATADO,MED.VILESP.14.97.MED-502.5.M.PH / 50.,NULL,,VILLA ESPERANZA,47225,41473,54,2015
61,1,815,16,232,A,M,15,CONTRATADO,MED.VILESP.14.97.MED - 101.1.M.A / 56.,NULL,,VILLA ESPERANZA,47403,41450,54,2015
62,1,816,83,1472,A,T,15,CONTRATADO,MED.VILESP.14.97.MED - 102.1.T.A / 51.,NULL,,VILLA ESPERANZA,47405,41445,54,2015
63,1,817,45,630,A,M,12,CONTRATADO,MED.VILESP.14.97.MED - 103.1.M.A / 52.,NULL,,VILLA ESPERANZA,47408,41446,54,2015
64,1,825,20,268,G,T,18,CONTRATADO,MED.VILESP.14.97.MED - 303.3.T.G / 57.,NULL,,VILLA ESPERANZA,47410,41467,54,2015
65,1,817,84,1475,F,T,16,INVITADO,MED.VILESP.14.97.MED - 103.1.T.F / 4.,NULL,,VILLA ESPERANZA,47593,41684,54,2015
66,1,816,103,2246,J,T,17,INVITADO,NULL,NULL,,VILLA ESPERANZA,47594,41685,54,2015
67,1,814,36,477,J,T,35,INVITADO,MED.VILESP.14.97.MED - 100.1.T.J / 14.,NULL,,VILLA ESPERANZA,47596,41686,54,2015
68,1,814,5,115,F,T,35,INVITADO,MED.VILESP.14.97.MED - 100.1.T.F / 18.,NULL,,VILLA ESPERANZA,47599,41697,54,2015
69,1,817,99,1852,C,T,16,INVITADO,MED.VILESP.14.97.MED - 103.1.T.C / 86.,NULL,,VILLA ESPERANZA,47600,41688,54,2015
70,1,814,152,4633,A,M,35,INVITADO,MED.VILESP.14.97.MED - 100.1.M.A / 35.,NULL,,VILLA ESPERANZA,47601,41694,54,2015
71,1,816,134,4368,I,T,15,INVITADO,MED.VILESP.14.97.MED - 102.1.T.I / 22.,NULL,,VILLA ESPERANZA,47602,41695,54,2015
72,1,815,124,3496,K,T,20,INVITADO,NULL,NULL,,VILLA ESPERANZA,47603,41696,54,2015
73,1,814,135,4380,E,M,35,INVITADO,MED.VILESP.14.97.MED - 100.1.M.E / 24.,NULL,,VILLA ESPERANZA,47604,41705,54,2015
74,1,814,117,3303,O,T,35,INVITADO,MED.VILESP.14.97.MED - 100.1.T.O / 25.,NULL,,VILLA ESPERANZA,47605,41698,54,2015
75,1,816,144,4414,K,T,15,INVITADO,MED.VILESP.14.97.MED - 102.1.T.K / 36.,NULL,,VILLA ESPERANZA,47606,41699,54,2015
76,1,821,60,1268,E,T,20,INVITADO,MED.VILESP.14.97.MED - 201.2.T.E / 72.,NULL,,VILLA ESPERANZA,47607,41710,54,2015
77,1,822,25,343,B,T,15,INVITADO,MED.VILESP.14.97.MED - 204.2.T.B / 45.,NULL,,VILLA ESPERANZA,47608,41713,54,2015
78,1,818,97,1764,D,T,24,INVITADO,MED.VILESP.14.97.MED - 200.2.T.D / 7.,NULL,,VILLA ESPERANZA,47609,41714,54,2015
79,1,819,67,1281,D,T,15,INVITADO,MED.VILESP.14.97.MED - 202.2.T.D / 77.,NULL,,VILLA ESPERANZA,47610,41715,54,2015
80,1,818,86,1550,B,T,21,INVITADO,MED.VILESP.14.97.MED - 200.2.T.B / 81.,NULL,,VILLA ESPERANZA,47611,41716,54,2015
81,1,825,95,1760,E,T,18,INVITADO,MED.VILESP.14.97.MED - 303.3.T.E / 9.,NULL,,VILLA ESPERANZA,47614,41747,54,2015
82,1,1342,11,198,PH,M,35,INVITADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 11.,NULL,,VILLA ESPERANZA,47615,41728,54,2015
83,1,827,147,4485,PH,M,18,INVITADO,MED.VILESP.14.97.MED - 304.3.M.PH / 73.,NULL,,VILLA ESPERANZA,47616,41729,54,2015
84,1,1343,145,4461,PH,M,35,INVITADO,NULL,NULL,,VILLA ESPERANZA,47617,41730,54,2015
85,1,823,132,4364,A,M,20,INVITADO,MED.VILESP.14.97.MED - 300.3.M.A / 16.,NULL,,VILLA ESPERANZA,47618,41731,54,2015
86,1,1342,131,4363,PH,M,35,INVITADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 74.,NULL,,VILLA ESPERANZA,47621,41735,54,2015
87,1,1344,18,256,PH,M,35,INVITADO,MED.VILESP.14.97.MED-301-03.3.M.PH / 79.,NULL,,VILLA ESPERANZA,47623,41733,54,2015
88,1,825,148,4486,A,M,18,INVITADO,MED.VILESP.14.97.MED - 303.3.M.A / 37.,NULL,,VILLA ESPERANZA,47624,41734,54,2015
89,1,1342,150,4507,PH,M,30,INVITADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 38.,NULL,,VILLA ESPERANZA,47626,41738,54,2015
90,1,823,139,4388,C,M,21,INVITADO,MED.VILESP.14.97.MED - 300.3.M.C / 83.,NULL,,VILLA ESPERANZA,47627,41736,54,2015
91,1,823,90,1706,B,M,24,INVITADO,MED.VILESP.14.97.MED - 300.3.M.B / 29.,NULL,,VILLA ESPERANZA,47629,41737,54,2015
92,1,1342,119,3308,PH,M,30,INVITADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 39.,NULL,,VILLA ESPERANZA,47630,41725,54,2015
93,1,1346,138,4387,PH,M,40,INVITADO,MED.VILESP.14.97.MED-400 .4.M.PH / 64.,NULL,,VILLA ESPERANZA,47634,41739,54,2015
94,1,1348,95,1760,PH,M,34,INVITADO,MED.VILESP.14.97.MED-400 .4.M.PH / 10.,NULL,,VILLA ESPERANZA,47639,41740,54,2015
95,1,1351,72,1313,PH,M,34,INVITADO,MED.VILESP.14.97.MED-400 .4.M.PH / 13.,NULL,,VILLA ESPERANZA,47640,41741,54,2015
96,1,833,47,677,PH,M,40,INVITADO,MED.VILESP.14.97.MED - 404.4.M.PH / 55.,NULL,,VILLA ESPERANZA,47641,41742,54,2015
97,1,832,153,4635,PH,M,34,INVITADO,MED.VILESP.14.97.MED - 403.4.M.PH / 41.,NULL,,VILLA ESPERANZA,47642,41743,54,2015
98,1,1347,92,1755,PH,M,34,INVITADO,MED.VILESP.14.97.MED-400 .4.M.PH / 75.,NULL,,VILLA ESPERANZA,47643,41744,54,2015
99,1,1351,21,277,PH,M,34,INVITADO,NULL,NULL,,VILLA ESPERANZA,47644,41745,54,2015
100,1,1350,102,2229,PH,M,34,INVITADO,MED.VILESP.14.97.MED-400 .4.M.PH / 21.,NULL,,VILLA ESPERANZA,47645,41746,54,2015
101,1,1353,126,3521,PH,M,40,INVITADO,MED.VILESP.14.97.MED-401 .4.M.PH / 87.,NULL,,VILLA ESPERANZA,47648,41761,54,2015
102,1,1353,76,1349,PH,M,34,INVITADO,MED.VILESP.14.97.MED-401 .4.M.PH / 82.,NULL,,VILLA ESPERANZA,47650,41759,54,2015
103,1,1349,111,2918,PH,M,34,INVITADO,MED.VILESP.14.97.MED-400 .4.M.PH / 40.,NULL,,VILLA ESPERANZA,47651,41762,54,2015
104,1,1355,80,1456,PH,M,34,INVITADO,MED.VILESP.14.97.MED-500.5.M.PH / 2.,NULL,,VILLA ESPERANZA,47653,41764,54,2015
105,1,1355,80,1456,PH,M,34,INVITADO,MED.VILESP.14.97.MED-500.5.M.PH / 1.,NULL,,VILLA ESPERANZA,47654,41765,54,2015
106,1,1363,154,4637,PH,M,34,INVITADO,MED.VILESP.14.97.MED-501.5.M.PH / 30.,NULL,,VILLA ESPERANZA,47655,41766,54,2015
107,1,1358,105,2314,PH,M,34,INVITADO,MED.VILESP.14.97.MED-500.5.M.PH / 3.,NULL,,VILLA ESPERANZA,47656,41775,54,2015
108,1,1361,81,1457,PH,M,34,INVITADO,MED.VILESP.14.97.MED-501.5.M.PH / 26.,NULL,,VILLA ESPERANZA,47657,41768,54,2015
109,1,1361,123,3430,PH,M,34,INVITADO,MED.VILESP.14.97.MED-501.5.M.PH / 33.,NULL,,VILLA ESPERANZA,47658,41769,54,2015
110,1,1364,104,2313,PH,M,35,INVITADO,MED.VILESP.14.97.MED-502.5.M.PH / 34.,NULL,,VILLA ESPERANZA,47659,41770,54,2015
111,1,1363,116,3302,PH,M,34,INVITADO,MED.VILESP.14.97.MED-501.5.M.PH / 117.,NULL,,VILLA ESPERANZA,47660,41771,54,2015
112,1,1356,122,3313,PH,M,34,INVITADO,MED.VILESP.14.97.MED-500.5.M.PH / 42.,NULL,,VILLA ESPERANZA,47661,41772,54,2015
113,1,1360,112,2919,PH,M,34,INVITADO,MED.VILESP.14.97.MED-501.5.M.PH / 15.,NULL,,VILLA ESPERANZA,47662,41773,54,2015
114,1,1355,143,4397,PH,M,34,INVITADO,MED.VILESP.14.97.MED-500.5.M.PH / 43.,NULL,,VILLA ESPERANZA,47663,41774,54,2015
115,1,838,113,3298,PH,M,34,INVITADO,MED.VILESP.14.97.MED - 503.5.M.PH / 17.,NULL,,VILLA ESPERANZA,47666,41776,54,2015
116,1,840,101,2228,A,T,21,INVITADO,MED.VILESP.14.97.MED - 505.5.T.A / 27.,NULL,,VILLA ESPERANZA,47667,41777,54,2015
117,1,840,101,2228,B,T,21,INVITADO,MED.VILESP.14.97.MED - 505.5.T.B / 19.,NULL,,VILLA ESPERANZA,47668,41778,54,2015
118,1,1357,75,1337,PH,M,32,INVITADO,MED.VILESP.14.97.MED-500.5.M.PH / 23.,NULL,,VILLA ESPERANZA,47669,41779,54,2015
119,1,1364,140,4391,PH,M,34,INVITADO,MED.VILESP.14.97.MED-502.5.M.PH / 118.,NULL,,VILLA ESPERANZA,47670,41780,54,2015
120,1,1359,118,3306,PH,M,34,INVITADO,NULL,NULL,,VILLA ESPERANZA,47671,41783,54,2015
121,1,1359,136,4381,PH,M,34,INVITADO,MED.VILESP.14.97.MED-501.5.M.PH / 88.,NULL,,VILLA ESPERANZA,47672,41781,54,2015
122,1,1356,137,4383,PH,M,32,INVITADO,MED.VILESP.14.97.MED-500.5.M.PH / 80.,NULL,,VILLA ESPERANZA,47673,41767,54,2015
123,1,1365,142,4396,PH,M,34,INVITADO,MED.VILESP.14.97.MED-502.5.M.PH / 84.,NULL,,VILLA ESPERANZA,47674,41784,54,2015
124,1,1364,155,4830,PH,M,34,INVITADO,MED.VILESP.14.97.MED-502.5.M.PH / 44.,NULL,,VILLA ESPERANZA,47675,41782,54,2015
125,1,814,49,707,D,T,35,INVITADO,MED.VILESP.14.97.MED - 100.1.T.D / 96.,NULL,,VILLA ESPERANZA,47677,41785,54,2015
126,1,820,42,577,G,T,15,INVITADO,MED.VILESP.14.97.MED - 203.2.T.G / 108.,NULL,,VILLA ESPERANZA,47678,41789,54,2015
127,1,822,96,1762,D,T,20,INVITADO,MED.VILESP.14.97.MED - 204.2.T.D / 52.,NULL,,VILLA ESPERANZA,49693,43247,54,2015
128,1,820,114,3299,C,T,20,INVITADO,MED.VILESP.14.97.MED - 203.2.T.C / 46.,NULL,,VILLA ESPERANZA,49694,43248,54,2015
129,1,820,70,1290,E,M,20,INVITADO,MED.VILESP.14.97.MED - 203.2.M.E / 53.,NULL,,VILLA ESPERANZA,49695,43249,54,2015
130,1,817,45,630,B,T,16,INVITADO,MED.VILESP.14.97.MED - 103.1.T.B / 57.,NULL,,VILLA ESPERANZA,49697,43250,54,2015
131,1,821,60,1268,F,T,20,INVITADO,MED.VILESP.14.97.MED - 201.2.T.F / 47.,NULL,,VILLA ESPERANZA,49698,43251,54,2015
132,1,816,29,372,H,M,20,INVITADO,MED.VILESP.14.97.MED - 102.1.M.H / 89.,NULL,,VILLA ESPERANZA,49700,43252,54,2015
133,1,818,125,3497,H,T,28,INVITADO,MED.VILESP.14.97.MED - 200.2.T.H / 31.,NULL,,VILLA ESPERANZA,49706,43253,54,2015
134,1,818,48,681,F,T,28,INVITADO,MED.VILESP.14.97.MED - 200.2.T.F / 66.,NULL,,VILLA ESPERANZA,49711,43255,54,2015
135,1,821,37,485,D,T,20,INVITADO,MED.VILESP.14.97.MED - 201.2.T.D / 48.,NULL,,VILLA ESPERANZA,49712,43256,54,2015
136,1,817,129,3868,H,T,16,INVITADO,MED.VILESP.14.97.MED - 103.1.T.H / 32.,NULL,,VILLA ESPERANZA,49715,43258,54,2015
137,1,819,78,1383,H,M,20,INVITADO,MED.VILESP.14.97.MED - 202.2.M.H / 51.,NULL,,VILLA ESPERANZA,49719,43260,54,2015
138,1,815,38,488,C,M,20,INVITADO,MED.VILESP.14.97.MED - 101.1.M.C / 92.,NULL,,VILLA ESPERANZA,49726,43262,54,2015
139,1,814,36,477,L,T,40,INVITADO,MED.VILESP.14.97.MED - 100.1.T.L / 54.,NULL,,VILLA ESPERANZA,49729,43267,54,2015
140,1,827,40,534,PH,M,20,INVITADO,MED.VILESP.14.97.MED - 304.3.M.PH / 56.,NULL,,VILLA ESPERANZA,49731,43270,54,2015
141,1,824,56,800,F,T,24,INVITADO,MED.VILESP.14.97.MED - 302.3.T.F / 71.,NULL,,VILLA ESPERANZA,49734,43271,54,2015
142,1,820,22,309,D,T,20,INVITADO,MED.VILESP.14.97.MED - 203.2.T.D / 58.,NULL,,VILLA ESPERANZA,49736,43273,54,2015
143,1,814,117,3303,P,T,40,INVITADO,NULL,NULL,,VILLA ESPERANZA,49737,43274,54,2015
144,1,819,6,124,G,M,20,INVITADO,MED.VILESP.14.97.MED - 202.2.M.G / 61.,NULL,,VILLA ESPERANZA,49741,43278,54,2015
145,1,824,64,1277,C,T,24,INVITADO,MED.VILESP.14.97.MED - 302.3.T.C / 60.,NULL,,VILLA ESPERANZA,49742,43280,54,2015
146,1,814,135,4380,N,T,40,INVITADO,MED.VILESP.14.97.MED - 100.1.T.N / 68.,NULL,,VILLA ESPERANZA,49745,43282,54,2015
147,1,816,4,74,G,M,20,INVITADO,MED.VILESP.14.97.MED - 102.1.M.G / 50.,NULL,,VILLA ESPERANZA,49746,43284,54,2015
148,1,825,20,268,D,M,24,INVITADO,MED.VILESP.14.97.MED - 303.3.M.D / 67.,NULL,,VILLA ESPERANZA,49754,43291,54,2015
149,1,817,12,204,E,T,16,INVITADO,MED.VILESP.14.97.MED - 103.1.T.E / 70.,NULL,,VILLA ESPERANZA,49758,43293,54,2015
150,1,825,90,1706,C,T,24,INVITADO,NULL,NULL,,VILLA ESPERANZA,49760,43294,54,2015
151,1,814,82,1458,H,T,40,INVITADO,MED.VILESP.14.97.MED - 100.1.T.H / 28.,NULL,,VILLA ESPERANZA,50155,41682,54,2015
152,1,827,44,629,PH,M,12,INVITADO,MED.VILESP.14.97.MED - 304.3.M.PH / 76.,NULL,,VILLA ESPERANZA,50619,41732,54,2015
153,1,820,133,4365,H,M,20,INVITADO,MED.VILESP.14.97.MED - 203.2.M.H / 49.,NULL,,VILLA ESPERANZA,50858,43259,54,2015
154,1,823,151,4510,D,M,24,INVITADO,MED.VILESP.14.97.MED - 300.3.M.D / 62.,NULL,,VILLA ESPERANZA,50861,43292,54,2015
155,1,1342,138,4387,PH,M,40,INVITADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 63.,NULL,,VILLA ESPERANZA,50865,41726,54,2015
156,1,818,86,1550,I,T,28,INVITADO,MED.VILESP.14.97.MED - 200.2.T.I / 65.,NULL,,VILLA ESPERANZA,50867,43290,54,2015
157,1,832,141,4392,PH,M,40,INVITADO,MED.VILESP.14.97.MED - 403.4.M.PH / 59.,NULL,,VILLA ESPERANZA,50940,43287,54,2015
158,1,1350,139,4388,PH,M,40,INVITADO,MED.VILESP.14.97.MED-400 .4.M.PH / 69.,NULL,,VILLA ESPERANZA,50941,43289,54,2015
159,1,816,35,475,E,T,20,INVITADO,MED.VILESP.14.97.MED - 102.1.T.E / 93.,NULL,,VILLA ESPERANZA,51029,43276,54,2015
160,1,815,16,232,G,T,20,INVITADO,MED.VILESP.14.97.MED - 101.1.T.G / 94.,NULL,,VILLA ESPERANZA,51030,43286,54,2015
161,1,816,29,372,L,T,20,INVITADO,MED.VILESP.14.97.MED - 102.1.T.L / 90.,NULL,,VILLA ESPERANZA,51031,43285,54,2015
162,1,815,38,488,J,M,12,INVITADO,MED.VILESP.14.97.MED - 101.1.M.J / 91.,NULL,,VILLA ESPERANZA,51034,43263,54,2015
163,1,1342,74,1315,PH,M,32,INVITADO,MED.VILESP.14.97.MED-301-01.3.M.PH / 95.,NULL,,VILLA ESPERANZA,51135,44133,54,2015
164,1,818,97,1764,E,T,28,INVITADO,MED.VILESP.14.97.MED - 200.2.T.E / 85.,NULL,,VILLA ESPERANZA,51549,43254,54,2015
165,1,821,130,4107,H,M,20,INVITADO,MED.VILESP.14.97.MED - 201.2.M.H / 107.,NULL,,VILLA ESPERANZA,51656,44315,54,2015
166,1,821,50,729,B,M,20,INVITADO,MED.VILESP.14.97.MED - 201.2.M.B / 100.,NULL,,VILLA ESPERANZA,51657,44312,54,2015
167,1,834,98,1783,B,T,24,INVITADO,MED.VILESP.14.54.99.MED - 405.4.T.B / 125.,NULL,,VILLA ESPERANZA,51665,44324,54,2015
168,1,1363,19,257,PH,M,40,INVITADO,MED.VILESP.14.97.MED-501.5.M.PH / 104.,NULL,,VILLA ESPERANZA,51670,44334,54,2015
169,1,815,172,35254,D,M,20,INVITADO,MED.VILESP.14.97.MED - 101.1.M.D / 111.,NULL,,VILLA ESPERANZA,51672,44308,54,2015
170,1,815,115,3301,H,M,20,INVITADO,MED.VILESP.14.97.MED - 101.1.M.H / 98.,NULL,,VILLA ESPERANZA,51673,44309,54,2015
171,1,815,115,3301,I,T,20,INVITADO,MED.VILESP.14.97.MED - 101.1.T.I / 99.,NULL,,VILLA ESPERANZA,51674,44310,54,2015
172,1,814,159,5491,I,T,40,INVITADO,MED.VILESP.14.97.MED - 100.1.T.I / 112.,NULL,,VILLA ESPERANZA,51675,44311,54,2015
173,1,827,181,35322,PH,M,20,INVITADO,MED.VILESP.14.97.MED - 304.3.M.PH / 113.,NULL,,VILLA ESPERANZA,51676,44318,54,2015
